title,make,model,year,condition,transmission,price
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5M) 2004 Blue,Toyota,Camry LE,2004,local used,automatic,"₦ 4,900,000"
Mercedes-Benz CLS 550 2012 White,Mercedes-Benz,CLS 550,2012,local used,automatic,"₦ 22,000,000"
Lexus GX 460 Luxury 2016 Black,Lexus,GX 460,2016,foreign used,automatic,"₦ 53,000,000"
Mercedes-Benz M Class 2013 Black,Mercedes-Benz,M Class,2013,foreign used,automatic,"₦ 25,000,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Green,Toyota,Camry LE,2007,local used,automatic,"₦ 5,700,000"
Toyota Venza 2010 Silver,Toyota,Venza,2010,local used,automatic,"₦ 12,656,250"
Toyota Corolla Verso 2006 Silver,Toyota,Corolla Verso,2006,foreign used,automatic,"₦ 11,000,000"
Mercedes-Benz M Class ML 350 4Matic 2013 White,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 14,800,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,foreign used,automatic,"₦ 15,060,937"
Lexus IS 250 AWD 2006 Silver,Lexus,IS 250,2006,local used,automatic,"₦ 7,087,500"
Lexus RX 2017 Gray,Lexus,RX,2017,local used,automatic,"₦ 35,437,500"
Mercedes-Benz E350 Base 4Matic Sedan AWD (3.5L 6cyl 7A) 2014 Gray,Mercedes-Benz,E350 Base,2014,foreign used,automatic,"₦ 21,000,000"
Lexus ES 2014 Black,Lexus,ES,2014,local used,automatic,"₦ 12,000,000"
Toyota Camry 2013 Black,Toyota,Camry,2013,local used,automatic,"₦ 10,500,000"
Ford Explorer Limited 4dr 4x2 (4.0L 6cyl 5A) 2010 Gold,Ford,Explorer Limited,2010,local used,automatic,"₦ 5,700,000"
Toyota Highlander 2005 Blue,Toyota,Highlander,2005,local used,automatic,"₦ 6,800,000"
Toyota RAV4 2015 Black,Toyota,RAV4,2015,local used,automatic,"₦ 15,800,000"
Toyota Highlander 2010 White,Toyota,Highlander,2010,local used,automatic,"₦ 9,800,000"
Hyundai Elantra 2016 Blue,Hyundai,Elantra,2016,foreign used,automatic,"₦ 15,000,000"
Mercedes-Benz M Class ML 550 4Matic 2012 Black,Mercedes-Benz,M Class,2012,foreign used,automatic,"₦ 26,000,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 4A) 2014,Toyota,Corolla L,2014,foreign used,automatic,"₦ 12,800,000"
Lexus GX 460 Premium 2013 Silver,Lexus,GX 460,2013,foreign used,automatic,"₦ 33,000,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Black,Toyota,Camry SE,2014,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,local used,automatic,"₦ 6,500,000"
BMW 330i 2005 Red,BMW,330i,2005,local used,automatic,"₦ 7,000,000"
Lexus RX 350 AWD 2016 Gray,Lexus,RX 350,2016,foreign used,automatic,"₦ 40,000,000"
Lexus RX 300 2WD 2003 Black,Lexus,RX 300,2003,local used,automatic,"₦ 5,000,000"
Toyota Camry XLE V6 FWD (3.5L 6cyl 8AM) 2018 Silver,Toyota,Camry XLE,2018,foreign used,automatic,"₦ 29,000,000"
Toyota Highlander XSE 2022 White,Toyota,Highlander XSE,2022,foreign used,automatic,"₦ 60,500,000"
Lexus RX 330 2005 Silver,Lexus,RX 330,2005,local used,automatic,"₦ 7,900,000"
Honda Accord 2014 Gold,Honda,Accord,2014,foreign used,automatic,"₦ 13,900,000"
Mercedes-Benz M Class 2015 White,Mercedes-Benz,M Class,2015,local used,automatic,"₦ 17,500,000"
Toyota Camry 2011 Gray,Toyota,Camry,2011,local used,automatic,"₦ 5,600,000"
Hyundai Santa Fe 2009 Black,Hyundai,Santa Fe,2009,local used,automatic,"₦ 4,800,000"
Toyota Hilux 2019 White,Toyota,Hilux,2019,local used,automatic,"₦ 39,000,000"
Honda CR-V 2014 White,Honda,CR-V,2014,local used,automatic,"₦ 8,700,000"
Kia Rio 2006 Red,Kia,Rio,2006,local used,automatic,"₦ 5,200,000"
